"Title";"Saga";"Genre";"Synopsis"
"Raimais";"";"action";"""Raimais"" is a top view single screen maze game where you play the role of Rika Midorikawa in an attempt to save her brother."
"King Neptune's Adventure";"";"action";"King Neptune's kingdom has been disturbed and turned into an evil underwater world. A dark tentacled creature has stolen his magical orb and eight other artifacts. Armed with bouncing lightshots and a limited amount of bubble bombs that can be detonated at your command, you need to guide Neptune through nine side-scrolling levels to recover the items."
"The Jungle Book";"";"platforms";"""The Jungle Book"" is a side-scrolling platformer starring Mowgli, the young boy raised by wolves in the jungle. Running, jumping, climbing, and swinging on vines, he must make his way through 11 levels. These includes the jungle by day and by night, a village high in the trees, a waterfall, ape King Louie's realm and the wasteland charred by a fire."
"Minelvaton Saga";"Silva Saga";"role play";"""Minelvaton Saga"" takes place on the world Minelvaton, in the area known as Southern Ofelia. In the kingdom of Palmeccia both the King and Queen have been murdered by the hands of a servant of Ragon, son of the Zuhl. The player takes control of the Prince of Palmeccia in a quest for revenge and to kill the evil Ragon."
"Michael Jackson's Moonwalker (shooter)";"Moonwalker";"shooter";"ou and two other friends play as Michael Jackson dressed as his ""Smooth Criminal"" alter ego whose mission it is to rescue all the children kidnapped by the evil Mr. Big. You have to blast all the various baddies that come at you in various waves while searching for the kidnapped children scattered around the various levels. Sometimes a rescued child will give you health which is represented as a health bar which deteriorates if you are touched or shot by the baddies. To help you on your quest you have a limited supply of smart-bombs which sees Michael Jackson start dancing with the baddies before they all die when activated. Also on each level you can see Bubbles the Chimp and if touched you turn into a robot who can now fire lasers."
"The Adventures of Willy Beamish";"";"graphic adventure";"Willy Beamish is a kid who likes to goof off and have fun. Naturally all the grown-ups get in the way by making him go to school, making him clean his room, etc. But now that's school's out for the summer, Willy is determined to have a good time and maybe even have his pet frog win the frog jumping contest. However Willy has a habit of getting into trouble, and naturally that means it will be a challenge to get out of it."
"Cosmic Carnage";"";"vs. fighting";"""Cosmic Carnage"" is a fighting game set in outer space. The story begins as a prison barge is hijacked by it's cargo in an escape attempt. The resulting chaos caused the barge to crash into a military cruiser. The impact caused extensive damage to both ships. There were only 8 survivors, 4 from each ship. What's worse, there's only one escape pod. You control one of the 8 survivors, and have to finish off all the others to escape with your life."
"It's Strange World - Ganpuru - Gunman's Proof";"";"shooter";"The year is 1880. Two meteors fell on Earth on a small island near North American Pacific Coast. In the middle of the island there is a small town governed by a sheriff. At first, the town's inhabitants didn't pay attention to the meteors. But then, strange things started happening. Monsters attacked people, and left on the victims' bodies a mysterious crest with one word: demiseed. One day you, a young boy who lives in the town, are contacted by two aliens who came in a miniature space ship. One of the aliens introduces himself as Zero, the Space Sheriff, and explains that an intergalactic criminal named Demi has escaped from justice and is hiding somewhere on the island, being the cause of all the troubles lately. Zero then possesses your body, lends you his powers, and commands you on the quest to destroy Demi and to bring peace to your island and to the alien world alike!"
"Outlander";"";"action, racing";"The game's setting and style closely resemble the movie ""Mad Max 2"". Your objective is to drive your car through the wasteland, trying to survive motorcycle gang members' attacks and to avoid running out of gas., "
"Oriental Legend";"";"brawler";""
"Saiyuki - Journey West";"";"role play, strategy";"""Saiyuki - Journey West"" is loosely based on one of the four classical novels of Chinese literature, Journey to the West. This tactical RPG lets the players take the role of the novel's hero who is also a historical character, the 7th century scholar and Buddhist monk Xuanzang and his monster companions, including the famous monkey Sun Wukong, as they travel to India. The game takes quite a few liberties with the original tale, including allowing the player to change Xuanzang's gender, giving each monster a more powerful ""were-"" form, and tying each character, save Xuanzang's, to an elemental affinity."
"The Chaos Engine 2";"The Chaos Engine";"shooter";"At the end of The Chaos Engine you managed to put a stop to Baron Fortesque's out of control machine, only to free the Baron himself from its clutches. Unfortunately not everything went to plan after that. During the confusion the Baron snuck away back into his own contraption and into another time period. Our two heroes decide the only way to stop him is follow him, but unfortunately luck isn't on their side..."
"Metal Warriors";"";"platforms";"In the year 2102 the United Government of Earth is under attack by an organization known as Dark Axis, led by a man named Venkar Amon. The Metal Warriors are mecha pilots whose goal is to defend the planet and eventually expel the enemies. At first, they need to complete a few rescue and intelligence-gathering missions in space before the government can clear the path for a return to Earth and an assault on enemy bases."
"Tin Head";"";"platforms";"On the edge of the universe, the evil intergalactic goblin Grim Squidge has captured and imprisoned all the stars. He has now scattered them across to faraway planets. While this is happening, a nearby space station picks up a distress signal. Tin Head, guardian of the edge of the universe, hears the cries for help and hurries to the rescue."
"Super Puzzle Fighter II Turbo";"";"puzzle";"A Tetris-like puzzle game featuring popular characters from many Capcom games. Colored gems fall from the top of the screen in pairs, but this time lining up those of the same color is not enough. To break the gems and punish your opponent with counter gems you have to place a crash gem of the same color next to the gems. If you make a block of gems of the same color they'll fuse, forming a power gem. Breaking a power gem sends more counter gems to your opponent than breaking the same amount of gems in some other configuration. But the ultimate attack is breaking power gems in chain."
"Vanguard";"";"shooter";""
"Time Commando";"";"action";"In the near future, the military has created an advance computerized combat simulation, which allowed participants to be trained in various forms of combat throughout human history. However, a programmer working for a corporation that seeks the downfall of the simulation developers infects the system with a virus. This virus creates a dimensional vortex that threatens to swallow the entire world. Stanley Opar, a member of S.A.V.E (Special Action for Virus Elimination) enters the vortex with one goal: destroy the virus before the universe ceases to exist., "
"Tenchu - Stealth Assassin";"Tenchu";"action";"It is 16th century Japan and you are one of two ninja employed by Lord Gohda, an uniquely compassionate samurai lord. As either Rikimaru or Ayame, you must proceed through your assigned quests, at first dispatching the amoral and unsavory folk in your lord's domain. As the game progresses, you will come face to face with greater threats from tengu goblins and oni demons."
"Cyberbots - Full Metal Madness";"";"vs. fighting";""
"Inindo - Way of the Ninja";"";"role play";"1581, Japan. Fearing a rebellion and striving to conquer the entire country, the warlock Nobunaga orders to attack the Iga ninja clan. The ninjas bravely defend their village, but, being vastly outnumbered, are mercilessly slain by Nobunaga's men. Only one survived: you, the hero of the game. Shortly before the assault you were sent to a nearby village to warn the elder of Nobunaga's attack. However, the other village is also destroyed by Nobunaga's army. You swear to avenge his crime. But for now, you are just an inexperienced young men, and are ""wanted"" by Nobunaga's men and ruthless bounty hunters. Will you be able to unite Japan in the ultimate struggle against Nobunaga?"
"Turok - Evolution";"Turok";"action";"In this prequel to the previous Turok games, you are Tal'Set, the saviour of natives of the River Village in the Lost Lands, who must confront the evil Lord Tyrannus, leader of the reptilian hordes. Tyrannus is bent on a ""Holy Mission"" to purify the Lost Land through slaughter and misery. During the fight with your nemesis Captain Tobias Bruckner in 1886 Texas, you were injured and sucked in to the Lost Lands. After recovering in the village, you discover that Tyrannus appoints a new general to his armies, Bruckner. So you begin the war in a land of lush jungles, suspended cities, mysterious temples, reptile armies, and towering dinosaurs."
"Traysia";"";"role play";"In ""Traysia"" the player controls a young man named Roy, who lives in the town Johanna. All his life Roy has been dreaming about leaving the town and going to explore faraway lands. Now, finally, his chance has come. His uncle, a travelling merchant, is going on a journey, and Roy decides to leave with him. His girlfriend Traysia gives him a pendant, to remind him of her... will Roy be able to escape from all the dangers that await him on his long journey and to see Traysia again?"
"Lucky Luke";"";"action";"Lucky Luke have to arrest four Dalton brothers – Averell, William, Jack, and Joe. On your mission you will progress from level to level shooting bad cowboys, jail-breakers, and bad Indians with your revolver; collecting bullets, dynamites, sheriff stars, and other useful items; running, jumping, ducking, and climbing. The locations vary from Forts, Towns, and Jails to Mines, Train, and Saloon with Ghosts. On every level you have to complete different submissions to progress – either to free a Bank Director, or to collect Three Nuggets for Miner to obtain a Nitroglycerine, or to build a Totem for Apaches, etc. At the end of some levels you confront the big boss, it is often the one of Daltons."
"Tetris Attack";"Tetris";"puzzle";"All is not well on Yoshi's Island! The devious king Bowser has cast a spell on the island's inhabitants, turning them into his mindless slaves. Only Yoshi has escaped its effects, and so he must set off to free his friends, and to defeat Bowser and break the spell., "
"Kirby's Dream Land";"Kirby";"platforms";"Dedede, King of Dream Land, is a penguin-like creature who is too gluttonous for his own good. Gathering food for his midnight feast, he got carried away and ended up taking all the food from the inhabitants of his country. One of them, a pink little guy named Kirby, decides to travel all the way to King Dedede's palace and retrieve the lost food by any means."
"Chippoke Ralph no Daibouken - The Adventure of Little Ralph";"";"platforms";"In this game the player controls Ralph, who has been turned back into a child by the evil demons who have invaded his homeland. In order to stop them and return to his former self, he must get through each area filled with enemies, traps, and many hidden routes. Ralph is armed with swords and various magic powers and also has the assistance of a small furry companion."
"Shogun Warriors";"";"vs. fighting";""
"Tenchu 2 - Birth of the Stealth Assassins";"Tenchu";"action";"Once again, you can play as Ayame or Rikimaru, two faithful and honorable ninja whose lord is a gentle man in an age of warfare. With your training nearly complete, you find yourself caught up in aiding your lord against a civil war in his own domain. All is not what it seems, however, and you'll soon realize that your greatest threat has been forged much like you., "
"Circus Charlie";"";"action";"You are Charlie, a member of a circus troupe. Your job is to please the crowd by performing five death-defying stunts: 1) You and the lion must jump through several rings of fire; 2) Walk the tightrope for 70 meters, avoiding the monkeys that get in your way; 3) Roll on a ball for 80 meters, jumping from ball to ball; 4) Ride a horse for 200 meters, bouncing on trampolines along the way; 5) Finally, trapeze from swing to swing for 50 meters. If you miss, make sure that you land on the platforms below so you bounce back on a swing. Once you have completed all five stunts, you have to do them again and hopefully, more points will be awarded."
"Aretha";"Aretha";"role play";"In a far away land, war was raging, as an evil ruler sent his troops to invade the castle of a mighty king. His minions stormed the castle and burnt it down. The king could not escape his fate, and the villain thought no one was spared by his wrath... Present time. You are Ariel, a little girl who lives with her old wise grandmother in a small house near a mountain range, north to the forest. She just turned ten, and the grandmother sends her on a seemingly simple quest: to go through the forest to Nineveh, the nearby town, and to meet there a certain person. But what starts as a simple assignment soon develops into the quest for magic powers of Aretha, the ultimate battle against the evil, and the discovery of Ariel's own true identity."
"Growl";"";"brawler";"In the early part of the 20th century, a group of evil poachers recklessly hunted animals to the point of extinction, including lions, deers, elephants, eagles, and several others. You control one of four characters (Gen, Burn, Khan, and Jack) and you must defeat these evil poachers by dealing with them with your fists."
"Espgaluda II";"ESP";"shooter";"The game takes place in a fictional land called Soma, three years after a massive war known as the Great Shinra War devastated the land and killed most of its plant life. Humanity is forced to pull their efforts together for the sake of survival and reforestation. Using new found technology, an alchemist named Hiodoshi spearheaded a project called Project Espgaluda, which gathered youths and used them as experimental test subjects for artificial armored wings. They were then called Galuda, named after the mythical bird of legend. Ageha and Tateha were two of the subjects who escaped during the project. At the end of Espgaluda, they were reunited with their mother and lived peacefully after going into hiding. Espgaluda II begins when they are discovered. "
"Warlock";"";"platforms";"When the sun aligns with the moon once every millennium, druid guardians summon their magic of their runestones to prevent the rebirth of the Warlock. The runestones are scattered through time and across the continents and you must find them before the Warlock does."
"Time Splitters";"";"shooter";"The TimeSplitters are an evil race dwelling outside of time and space. Roused from an ancient sleep, they cross the threshold from their shadowy dimension, ripping through the fabric of time itself to make humanity history. Can we unite against a common enemy? Or will we be condemned forever to a realm ruled under the shadow of the TimeSplitters. In the 1-player game you travel from time to time to collect different artifacts before the Timesplitters can. The multiplayer game is 4-player Deathmatch with the option of adding several bots., "
"Bram Soker's Dracula";"";"action";"Control a young lawyer named Jonathan Harker. Harker must free himself from Dracula's capture, follow him to London, and end his reign of terror."
"Burai Fighter";"";"shooter";"The Burai, a race of evil super-brain aliens, have launched their plan to conquer the universe with their army of half-organic, half-robot creatures; the robo-mutants. It's up to you to stop them! Strap on your jet pack, and get ready to become the ultimate Burai Fighter."
"Wonder Boy in Monster Land";"Wonder Boy";"platforms";"Eleven years have gone by since Tom-Tom rescued his girlfriend Tanya from the clutches of the evil King. Word of Tom-Tom's dangerous adventure soon spread throughout Wonder Land. The people were very proud of him and gave Tom-Tom the highest honor of all - the legendary name of Wonder Boy. With the evil King defeated, Wonder Land returned to its peaceful state, and for over one decade, the kingdom was a paradise, and everything and everyone lived happily together. Eventually, the peace was broken when a ferocious fire-breathing dragon appeared out of nowhere and took over Wonder Land with an army of evil, monsterous henchmen, causing Wonder Land was immediately thrown into utter chaos. Defenseless that they were, the people were quickly taken over and the tranquil and serene kingdom was transformed into a land of demons and devils. Wonder Land was now a Monster Land. Tom-Tom was summoned to set out on a journey, destroy this dragon, and restore peace once again. Tom-Tom is Wonder Land's last hope., "
"College Slam";"NBA Jam";"sports";"College Slam allows you to choose from over 40 real college teams and take part in head-to-head games, tournament games, and season-long play. The gameplay is arcade-style two-on-two fast action featuring backboard shattering wild dunks, power-ups and other crazy moves. The game also features fight songs from all the available teams."
"Burning Fight";"";"brawler";"The Castella family from the Metro City started ruining the peaceful city of Osaka with the violent Japanese group, ""Heiwa-gumi"". To stop the fight, Metro police detectives dispatched two dangerous characters, Duke and Billy, to Japan. With the support of the famous Japanese detective Ryu, they decided to rush into the enemy's fortress. Ruthless violence in the neon lights of Osaka. Will there be an end to this war?"
"Majuu Ou";"";"action";"Abel's daughter has been kidnapped by his former friend, Bayer. Bayer has sold his soul to the devil, and sacrificed Abel's wife, in an attempt to resurrect the King of Demons. With no other choice, Abel vows to save his daughter, no matter what the cost - even if it is his own humanity... "
"Separation Anxiety";"";"brawler";"Take control of Spider-Man and his on-and-off again arch-nemesis Venom. You must set off and stop the life foundation that has spawned out 5 symbiote offsprings from Venom and plans to bond them together with its soldiers in order to assemble and form a vast deadly army. As Venom recovers from his wounds, he thus realizes and decides that he must set out and fight them off either alone or with the aid of his old arch-nemesis Spider-Man."
"Pilotwings";"";"simulation";"Fly a selection of aircraft (including training vehicles, fighter planes and helicopters) through a range of training programs and missions. The more training you complete, the better the chance that you will complete the even bigger missions. Try your hand at landing, taking off, party tricks, fly through bad weather and shoot down targets., "
"Race Drivin'";"Hard Drivin'";"racing, simulation";"Race Drivin' is a sequel to the driving simulator Hard Drivin'. Game play is similar to the first game. The player must complete laps around the race track before a timer expires. There are several checkpoints around the track which increase player's time as he passes. Race Drivin' has three courses, one of which is the track from Hard Drivin'. There is a new super-stunt track, and an autocross course. The player also may choose from three types of cars."
"Zero Divide";"Zero Divide";"vs. fighting";"On one fateful day in the near future, an online database known as XTAL Tower has surfaced. The hackers who were running it claimed that the database contained the national security secrets of every country in the world. Governments have received an invitation from the mysterious XTAL: if they can create robots who are strong enough to defeat XTAL security units, the database will not be made public. The most powerful robots are dispatched on the dangerous mission: take down the units, and eventually destroy XTAL itself..."
"Kung Fu Kid";"";"action";"The wicked Madanda has just awakened from a sleep of several thousand years, and as the hero, your job is to use your kung-fu skills to fight the thugs in each of the seven rounds before reaching him, and you have 99 seconds to complete each round. The thugs tend to attack you from behind as well as in front. As usual, you have to defeat a boss at the end of each round in order to proceed to the next round. However, round six requires you to fight several bosses."
"Monstania";"";"role play";"The hero of the game is Fron, a sixteen-year old boy who lives on the island of Monstania. One day, strolling in the forest, he notices a strange light. The light lead him to a clearing, and then suddenly disappeared. But Fron realized what was the meaning of that light - it was a fairy! Of course, everybody knew that fairies had been long extinct, but Fron never believed in that. All his life he wanted to meet a real fairy, and now, when the opportunity has come, he firmly decides to find her. His girlfriend Tia helps him on the dangerous journey, during which they meet a mysterious little girl named Chitta, and get involved in a grand adventure, that will ultimately lead them to the battle against the dark force that threatens the whole Monstania!, "
"Koudelka";"";"role play";"The year is 1898. A young gypsy woman named Koudelka, who possesses unique spiritual abilities, is off to Wales, to investigate the mystery of the Nameton monastery. This monastery was once a regular place of worship, but later was bought by a mysterious man whose death circumstances are yet unclear. Rumors say that supernatural powers have appeared in the monastery since then. But when she begins to explore the monastery, Koudelka discovers she was not the only one who was interested in its past... "
"Harmful Park";"";"shooter";"""Harmful Park"" puts you in the shoes of the two daughters of a well-meaning inventor that sends her daughters in weapon-loaded, flying hoverbikes to retake the ""Heartful Park"" which has been taken over by one of its creators and has turned all of its attractions into mechanical beasts."
"Panzer Bandit";"";"brawler";"An evil robotic army invades city after city and nothing seems to stop them, that is until fighting hero Kou and his band of heroes decide to put the hurt on the invading forces and set off in a quest to liberate each city and finally destroy their flying robotic whale HQ."
"Final Star Force";"";"shooter";"A millennia ago, a mysterious force known as Gordess perished in a long battle. However, Gordess has been brought back to life by a race of aliens known as the Borign and is now in the process of ravaging the Earth. Two space ships -the Blue-Nova and the Red-Nova- are sent to fight the Borign forces and destroy Gordess. "
"Cyborg 009";"";"platforms";"Nine young people were turned into cyborgs by a company trying to take over the world. They have defeated this company and are now using their super powers to protect the world."
"Test Drive";"Test Drive";"racing";"This mix of racing simulation and arcade game consists of driving a choice of 5 sports cars on a mountain strip at the fastest speed possible without getting caught by the cops. To avoid them, use your radar detector -or just try to outrun them if they spot you. Manual stickshift only, so make sure you don't redline or you'll blow your engine."
"Solid Runner";"";"role play";"In the far future Solid City is overrun by mecha-related crime, and few dare face the underworld mafias and street gangs that threaten the city. However everything changes when private eye Shuu's girl is murdered in a mob-related hit and he decides to get to the bottom of the crime wave and avenge his girl's death."
"Arcana";"";"role play";"In this game you play as a young boy named Rooks. He's the only one that can save the world from the evil Galneon. With the power of the cards he begins his adventure., "
"Alcahest";"";"role play";"Past and future are connected in a way mortals do not understand... A star was glowing up in the sky, and the demon god Alcahest appeared, bringing chaos and destruction to the world. A single swordsman stood in defiance. The four powers that protect the world, the Guardians, gave him their power, and with it the swordsman slew the demon and restored peace in the world. Thousand years have passed. And a new battle is already on the way. A cruel emperor leads his troops towards conquest. The kingdom of Panakeia is defending itself with the aid of its knights. Once again, the ominous star shines in the sky, indicating the demon's revival. With the help of Alcahest's power, the evil emperor wants to conquer the world. But the new generation also brings the new hero - the brave swordsman Alen. Aided by the Guardians, Alen must stop the Empire's evil plans and to destroy Alcahest once again."
"Sword of Vermilion";"";"role play";"The player is cast in the role of an ordinary young man who discovers that he is really a prince, and the son of the deceased good King Erik. He is charged with traveling around the land of Excalabria to collect the eight magic Rings of Good, defeating a number of boss enemies on the way to confronting the evil King Tsarkon., "
"Buggy Run";"";"racing";"Buggy Run is a game that lets players race dune buggies in a championship over 15 possible tracks (plus 4 in 2 player mode) each winning money that can be used for dune buggy upgrades. There are 4 different modes that can be played in single player mode that includes Race, Vs Com, Freerun, and Battle."
"Mega Man Zero 4";"Mega Man";"platforms";"The evil Dr. Weil wants to take over Neo Arcadia and only Zero and his friends can stop him leading the union between humans and reploids."
"Mega Man Zero 3";"Mega Man";"action, platforms";"Continuing where the Mega Man Zero 2 left off, you have to find and neutralize the recently escaped ""Dark Elf"" before it's able to brainwash the Resistance for the purpose of conquering Neo Arcadia. "
"Mujintou Monogatari";"";"adventure";"A plane crashes into the sea, but the protagonist survives and reaches a seemingly deserted island. The protagonist finds a cabin with a few basic supplies. From that point on, the player has to manage the hero's activities. Water, food and light sources have to be provided. The protagonist can team up with other survivors and explore the island, gradually revealing new locations."
"Pocky & Rocky";"";"shooter";"You play as the Princess Pocky and her Racoon Rocky. Run through each level beating the enemies and you'll face a goofy boss at the end. Beat him and you're on to the next level."
"Breakout";"";"action";"In Breakout, there is a wall of bricks along the top of the screen and your goal is to destroy the entire wall one brick at a time! To do this, you control a paddle at the bottom of the screen which is used to reflect a bouncing ball into the bricks. When the ball hits a brick, it will destroy it. You start with five balls, and the game ends when all five fall off the bottom of the screen. Also included are several game variations, including breakthru, timed breakout, and invisible breakout."
"Pig Mock";"";"action";"""Pig Mock"" is an action game where you, Pig Mock, must catch dropped eggs and transfer them to funnels at the side of the screen. The eggs are dropped by Thunder Pants who are some creatures living in the clouds. Pig Mock has a frying pan with which to collect the eggs, Pressing up allows the eggs to be thrown upwards, and any Thunder Pants hit by a red egg will fall from the cloud, before eventually being replaced. Dropped eggs will stay on the floor, until cleaned up by Uncle Dust-pan who periodically crosses the screen, eating the smashed eggs. After eating enough eggs, Uncle Dust-pan will grow in size and cannot be jumped."
"Tactics Ogre";"Ogre Battle";"strategy";"The land of Valeria is in a state of constant tension between the three nations that populate it. The Gargastan people, which constitute the majority, find themselves in a turbulent political situation. The Walstanian minority is being oppressed by the more powerful neighbors. The king of Bacrum, a nation that considered itself Valeria's elite, eventually gained the upper hand in the struggle, and managed to establish an era of peace and stability. All this ended when mysterious accidents began to plague the royal family. A new conflict arose, and eventually led to the ethnic cleansing of the Walstanians. Denim Powell, one of the survivors, embarks on a quest for revenge against those who slaughtered his people."
"Ogre Battle";"Ogre Battle";"strategy";"Twenty-five years ago Empress Endora conquered the entire continent of Zetegenia. Her reign proved to be tyrannical, and people of different social classes and positions began to long for a better future. Eventually, a resistance movement called the Liberation Army was formed. The protagonist (whose name and background are chosen by the player) takes command of the new army, and leads his allies towards a revolution."
"Vandyke";"";"brawler";""
"Line of Fire";"";"shooter";"A man by the name of Jack infiltrates an enemy base and discovers a secret weapon. Soon he is hunted by disgruntled enemy soldiers who want their toy back. The game takes the players through six levels controlling Jack in an armoured jeep. The gameplay is shown through a top-down perspective, with the screen scrolling vertically at a constant rate. The jeep cannot access the top part of the screen, only two thirds of it and getting stuck behind certain objects blows up the jeep."
"Nuts & Milk";"";"platforms";"In this Arcade game the gameplay is quite simple, the hero, named ""Milk"" must get all the fruits in the screen in order to free his girlfriend (don't ask me what's the relation) who is captured inside of a house. Your rival ""'Nuts"" will try to keep you away from your goal. To obtain the fruit, Milk will climb up ladders and jump onto different platforms."
"Super Ninja Boy";"Super Ninja Boy";"action, role play";"One day a spaceship came down from the heavens and into the skies of Chinaland. It began broadcasting an image of peace. Soon Emperor Chin was holding a peace conference with the space ship's leader, Rub-A-Doc. Rub-A-Doc visited with some of the other places in the world before departing to the heavens and leaving the world. All seemed peaceful however there seems to be trouble starting up, strange monsters have been seen throughout Chinaland. Could the increase in monsters be somehow related to the recent visit from Rub-A-Doc? The ninja masters of Mount Edin, Jack and Ryu are sent to investigate..."
"Super Chinese World 2 - Uchu Ichibuto Daikai ";"Super Ninja Boy";"action, role play";"Following the events of the first ""Super Ninja World"" game, the world has been saved and Rub-A-Doc has invited the leaders of the world, including the Emperor Chin of Chinaland to a galactic peace conference. However the conference is disrupted when alien invaders capture all members of the peace conference and declare themselves rulers of the galaxy. To back up this claim, the invaders have assigned several champions as lieutenants. Hearing that things are once again in trouble, ninja warriors Ryu and Jack quickly enlist the help of the people of Futureland to build a spaceship and attack one of the champions. However strong their intentions, Ryu and Jack are unable to defeat this opponent and must land at nearby planet for repairs..."
"Chinese Hero";"Super Ninja Boy";"action";"Kung-Fu masters Jacky and Lee (Lee and Loo in the arcade versions) return to their kingdom from a long trip. They discover that in their absence, Princess Min-min has been kidnapped and the ten treasures of the kingdom stolen. Jacky and Lee must fight their way into eight different castles in order to defeat the monsters and rescue the princess."
"Top Gear";"Top Gear";"racing";""
"Journey from Darkness - Strider Returns";"Strider";"action";"Strider has been called into action to save the people of the planet Magenta, armed with a Gyro laser and matter converter. He must fight his way through a forest, a ruined city, underground colonies, a roof-top battle, and finally the prison ship in which the Megantan leader is held."
"Water Margin - The Tales of Clouds and Winds";"";"brawler";"Fight the army of evil at the risk of your life! Play as one of the three heroes with specific moves and features, and face formidable warriors who will show no mercy. On your own or with a friend, slice through the woods and fight your way through hordes of enemies. Use different magics to put a large number of opponents at the same time."
"Super Xevious";"Xevious";"shooter";"""Super Xevious"" is an updated version of the original ""Xevious"". While on the surface appearing to be similar to the previous game there have been a few changes. The game now has an increased difficulty and the AI will adapt to the players skill level. The game also introduces a few new enemy vehicles to contend with. The new enemies include a Galaxian flagship, an indestructible Falcon jet, two enemy crafts (the Phantom jet and Helicopter) which will reset the players score to zero if they are destroyed, and a Tank, which will also reset the players score to zero if destroyed, but can also be picked up for a hefty 10,000 point bonus."
"Weapon Lord";"";"vs. fighting";"A barbarian battleground. Seven different warriors, eached armed with a unique weapon set forth on a fighting game quest where they will clash and conflict with one another in this fighting game from Namco. Their ultimate foe is the mysterious Demonlord. An early relative of the popular Soul Calibur series, the main claim to fame of this game is the weapon play. Blocking and combos are present along with special ""frenzies"" of increased attack and death combos. The backgrounds are all hand drawn and meticulously detailed. Each character carries their own storyline with them between arenas, jungles and firey mountains on a quest to oppose the Demonlord."
"Curse";"";"shooter";""
"Street Sk8er";"";"action, sports";""
"Bases Loaded";"Bases Loaded";"sports";"""Bases Loaded"" is a baseball action game for one or two players featuring a large variety of options and realistic graphics and sound. You can select from twelve different teams and choose a lineup for each team. Each team has 30 players with different characteristics to learn. During gameplay you can control all of the positions in the field and pitch everything from a fast ball to curve ball. When at bat you can try to hit a homerun, bunt, or steal bases. Play can be a single game or a complete pennant."
"Sword Master";"";"action";"""Sword Master"" establishes the tale of an evil wizard in league with a monstrous demon who have dared to kidnap a damsel. The Sword Master is a knight who seeks to rescue the fair lady and destroy the evil people and creatures in the castle in which they dwell."
"Tyrian";"";"shooter";"You play the role of Trent Hawkings, this galaxy's ace solo fighter-pilot, whose luck forces him to save the galaxy, one time after another. Again and again, Trent must fight off MicroSol, a company with the evil intent of taking over the galaxy. Through your struggles, you will find yourself again and again betrayed by friends and allies, your parents will be killed and you will have to return to points you've already been to (with variations on the levels) in order to remove further threats to the galaxy and to yourself, all for the ultimate goal of overthrowing MicroSol."
"Plok!";"";"platforms";"At one day, Plok awakes to find out that his flag has been stolen. He spots it on a neighboring island and travels there to get it back. However, as he returns to his home, he realizes that all flags on his island have been replaced with flea-flags. This is only the beginning of his problems though, and he has to face many more challenges before the end of the game."
"Parasite Eve";"Parasite Eve";"action, adventure";"An ordinary day in New York for rookie police officer Aya Brea. Christmas Eve is the present day, and you've decided to visit the opera theater. Now this is where the fireworks begin. Suddenly audience members are set on fire, toasted completely, and it appears that the lead vocal is the source of this burning terror. Yet you appear to be immune, and as a police officer you're always on duty, so you must confront the danger. There has to be some connection between the two of you, as that seems the only rational explanation. What if mitochondria are a species on its own, more advanced then humankind, and using them only to create environments and civilization for themselves? What if humankind are just hosts? What if mitochondria are the natural enemy of humankind? That would make Aya their natural enemy, so the battle for survival and uncovering the truth has already started."
"Star Sweep";"";"puzzle";""
"Runabout 2";"Runabout";"racing";"In the sequel to Felony 11-79, you are hired by a secret organization which asks you to do certain tasks in a variety of environments, ranging from a downtown city to a desert. Like the original, you can drive around like a maniac and smash into everything you see. You receive e-mail from various contacts, who give out advice on how to do the mission."
"Times of Lore";"";"action, role play";"The Kingdom of Albereth was under attack of barbarian forces. King Valwyn drove the barbarians away, but was wounded in battles. Searching for a place where he could rest and restore his strength, he left the city - but never returned. Now, a new hero must rise and defend his homeland."
"Strider 2";"Strider";"action";"In a future ruled by tyranny and evil, a lone Strider named Hiryu must use his sharply honed skills to fight for justice and peace, and defeat the Grandmaster, an evil dictator who has taken over the world."
"Metal Fangs";"";"racing";"Metal Fangs is a unique futuristic battle driving game, where the player controls a team of racers and must attempt to destroy the competing team. Each ""race"" is made up of two heats of two parts each, and hits or kills on the other team earns points. During each heat, each team takes one turn attacking (four vehicles on the course) and one turn defending (three vehicles on the course). The team with the most points at the end of the last heat wins a reward and moves on to the next match."
"Spectral Tower";"Spectral Tower";"role play";"Sinners are being drawn to a nameless town somewhere in Neverland, as if they were being attracted like iron to a magnet. Some had been gathering people for war, while others had been hurting others for their own gain. It was as if they all had their own cross to bear. In the middle of the continent, rose the Spectral Tower, which reflected in their eyes. It is said that a new world will open up for those who can make it to the top of that tower..."
"Swords and Serpents";"";"role play";"Deep in the dungeons lay the fabled ruby treasures. Many brave souls have tried to recover them; all have failed. Little did they know how futile their quests would be - they met a horrible fate at the hands of a horrible serpent king. Can your party of champions defeat the dragon and claim the ruby treasures? Or will you, too, be vanquished?"
"Super Solitaire";"";"puzzle";""
"IronSword - Wizards & Warriors II";"Wizards & Warriors";"platforms";"The mighty warrior Kuros has defeated the evil wizard Malkil in the previous game. However, Malkil did not perish, and has now taken the shape of the four elements: water, wind, air and fire. Kuros is summoned to the land of Sindarin to destroy Malkil again. In order to accomplish that, he will have to collect the shattered pieces of the legendary Ironsword with the help of the four animal kings, and defeat the elementals who protect Malkil's essence., "
